CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS,,,
U51909MN2014PTC008380,SALAI MART PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,24-06-14,Manipur,20000000,2000000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","SAGOLBAND, TERA LOUKRAKPAM LEIKAI IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,secretary.salaimart@gmail.com,31-03-18,31-03-18,,,
U51909MN2015PTC008417,JAYSS TRADECOM PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,24-03-15,Manipur,10000000,1000000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","NAGAMAPAL PHOUGEISANGBAM LEIKAI PO IMPHAL IMPHAL WEST , West Imphal Unclassified MN 795004",RoC-Shillong,caprashanrajesh@gmail.com,31-03-16,31-03-17,,,
U51909MN2015PTC008446,MARJING COMMERCE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-10-15,Manipur,50000000,40122100,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","CHINGAMAKHA YANGLEM LEIKAI, PO/PS SINGJAMAI, IMPHAL WEST , West Imphal Unclassified MN 795001",RoC-Shillong,inbox@marjing.com,31-03-20,31-03-20,,,
U51909MN2016PTC013479,OOREI COTERIE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-06-16,Manipur,1000000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","KHOYATHONG POLEM LEIKAI, BEHIND SAGOLSEM MANDOP IMPHAL WEST , West Imphal Unclassified MN 795001",RoC-Shillong,samanandakhangembam@gmail.com,31-03-20,31-03-20,,,
U51909MN2016PTC013486,KHUMAN AGENCY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,08-08-16,Manipur,1000000,1000000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","YAISKUL HIRUHANBA LEIKEI IMPHAL WEST , West Imphal Unclassified MN 795001",RoC-Shillong,caprashantrajesh@gmail.com,NA,NA,,,
U51909MN2016PTC013487,R.K.MARVIN COMMUNICATION PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-08-16,Manipur,500000,500000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/O THOKCHOMG PRAFULLA SINGH, THANGMEIBAND LOURUNG PUREL LEIKAI , LAND MARK NEAR THYO CLUB IMPHAL WEST , West Imphal Unclassified MN 795004",RoC-Shillong,rkboycha@gmail.com,31-03-20,31-03-20,,,
U51909MN2017PTC013515,THONGAM ENTERPRISES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-02-17,Manipur,1000000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","SANGAIPROU NEAR ZENITH ACADEMY IMPHAL , West Imphal Unclassified MN 795140",RoC-Shillong,thongamenterprisespvtltd@gmail.com,31-03-18,31-03-18,,,
U51909MN2017PTC013530,ABHINUNG TRADING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,11-05-17,Manipur,100000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Khangabok Khullakpam Leikai, PO/PS- Thoubal Thoubal , Thoubal Unclassified MN 795138",RoC-Shillong,mrsnungshidalal@gmail.com,NA,NA,,,
U51909MN2017PTC013541,ATIYA MARKETING AND TRADING PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,20-06-17,Manipur,1000000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/o Thokchom Suresh Singh Kwakeithel Thokchom Leikai Imphal West , West Imphal Unclassified MN 795001",RoC-Shillong,suresh.thokchom@gmail.com,31-03-20,31-03-20,,,
U51909MN2017PTC013547,PHYTOLIFE TRADING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-07-17,Manipur,100000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","CHAJING, MAIRENKHONG LILONG CHAJING IMPHAL WEST , West Imphal Unclassified MN 795130",RoC-Shillong,saratsoibam12@gmail.com,31-03-20,31-03-20,,,
U51909MN2017PTC013565,HEE YAI TRADEX PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-08-17,Manipur,100000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Thoubal Awang Leikai, Thoubal Sub Division Thoubal , Thoubal Unclassified MN 795138",RoC-Shillong,Jsoinam32@gmail.com,31-03-19,31-03-20,,,
U51909MN2017PTC013572,PHIREN CLOTHING AND ALLIED INDUSTRIESPRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,30-08-17,Manipur,100000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Kwakeithel Mayaikoibi Chabungbam Leikai, Imphal West Imphal , Thoubal Unclassified MN 795001",RoC-Shillong,anjinao123@gmail.com,31-03-20,31-03-20,,,
U51909MN2017PTC013616,YUMNAM ENTERPRISES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-12-17,Manipur,100000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","S/o Yumnam Ngoubi Singh, Thoubal Nongangkhong Thoubal Sub-division Thoubal , Thoubal Unclassified MN 795138",RoC-Shillong,yumnamingo2017@gmail.com,31-03-19,31-03-19,,,
U51909MN2018PLC013648,SALAI PAN INTERNATIONAL LIMITED,Active,Public,Company limited by Shares,Non-govt company,28-03-18,Manipur,1000000,1000000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/O NARENGBAM SAMARJIT SINGH SAGOLBAND TERA LOUKRAKPAM LEIKAI IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,deep.hybee@gmail.com,NA,NA,,,
U51909MN2018PTC013623,NONGMAITHEM AGRO SOLUTIONS PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,10-01-18,Manipur,2500000,2300000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/o Nongmaithem Rajmuhon Singh Langthabal Kunja Awang Leikai Langthabal , West Imphal Unclassified MN 795003",RoC-Shillong,robbarts.n@gmail.com,31-03-20,31-03-20,,,
U51909MN2018PTC013652,HOUSEMART PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-04-18,Manipur,5000000,3100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/o Shyamkeshwar Singh Kshetrimayum Kakching Mayai Leikai Kakching P.O. KAKCHING , Thoubal Unclassified MN 795103",RoC-Shillong,bedhajit2@yahoo.co.in,31-03-20,31-03-20,,,
U51909MN2018PTC013718,LEISEMBA FURNI SOLUTIONS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-08-18,Manipur,500000,300000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/O Wahengbam Thoibi Old Patta No 293, Leimapokpam Awang Leikai Po/Ps Nambol BISHNUPUR , Bishnupur Unclassified MN 795134",RoC-Shillong,loukrakpamherojit@gmail.com,NA,NA,,,
U51909MN2018PTC013721,KANGLEI YENING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-08-18,Manipur,100000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/O K. SARAT SINGH KWAKEITHEL NGANAPI THONG MAPAL IMPHAL WEST , West Imphal Unclassified MN 795001",RoC-Shillong,pcsvaibhavgarg@gmail.com,31-03-19,31-03-19,,,
U51909MN2018PTC013728,KGI MERCANTILE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,31-08-18,Manipur,35000000,30000000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","90, THANGMEIBAND D.M COLLEGE ROAD, OPP ABC GODOWN IMPHAL WEST , West Imphal Unclassified MN 795001",RoC-Shillong,dorensingh30@gmail.com,31-03-20,31-03-20,,,
U51909MN2018PTC013730,CHINGKHEINGANBA TRADING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,01-09-18,Manipur,100000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/O KHANGEMBAM CHINGKHEINGANBA SINGH 00 ATHOKPAK AWANG LEIKAI THOUBAL , Thoubal Unclassified MN 795138",RoC-Shillong,pcsvaibhavgarg@gmail.com,31-03-19,31-03-19,,,
U51909MN2018PTC013783,YRP TRIBAL AGRO PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-12-18,Manipur,1000000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","FAIRYLANE - 786-4NC, OPPOSITE ISBT IMPHAL IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,angam_ningshen@yahoo.co.uk,NA,NA,,,
U51909MN2018PTC013784,GLYCYL MARKETING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-12-18,Manipur,1000000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","PAONA BAZAR, KAKHULONG NEAR PRATAP HALL, P.O. IMPHAL, P.S. CITY, IMPHAL WEST IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,geetchandam@gmail.com,NA,NA,,,
U51909MN2019OPC013925,LAMTAKPA FOOD SERVICE (OPC) PRIVATELIMITED,Active,Private(One Person Company),Company limited by Shares,Non-govt company,08-08-19,Manipur,1000000,10000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/O MOIRANGTHEM IBUNGO SINGH, ASHOKUMAR COMPUTER LIBRARY 1ST FLR,TENTHA KHUNOU BAZAR THOUBAL , Thoubal Unclassified MN 795148",RoC-Shillong,incorppvt@gmail.com,NA,NA,,,
U51909MN2019PTC013818,OKRAM TRADING CORPORATION PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,14-02-19,Manipur,1000000,500000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/O- MR. RISHIKANTA THOUNAOJAM IED-IV, 800-11NC, MANTRIPUKHRI EAST IMPHAL-LMLG -1 , East Imphal Unclassified MN 795002",RoC-Shillong,caprashantrajesh@gmail.com,31-03-20,31-03-20,,,
U51909MN2019PTC013840,HAOBIJAM SUPERMARKET PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-03-19,Manipur,100000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","147, Salam Leikai, Maning L, Sagol Band, Nc Road IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,haobijam@gmail.com,31-03-20,31-03-20,,,
U51909MN2019PTC013847,KIBIKO TRADERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-04-19,Manipur,1000000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/oOinamKiranSinghSangaiprouManingLeikai South ofFCI Godown Near Power SubStation IMPHAL WEST , West Imphal Unclassified MN 795140",RoC-Shillong,pcsvaibhavgarg@gmail.com,NA,NA,,,
U51909MN2019PTC013869,NEIGEO IMPEX PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,15-05-19,Manipur,100000,10000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","IED - III, 12 - EB - 41/4, Wangkhei, IMPHAL , East Imphal Unclassified MN 795005",RoC-Shillong,devil_pram@yahoo.co.in,31-03-20,31-03-20,,,
U51909MN2019PTC013873,BEAMON TRADERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-05-19,Manipur,1000000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","19230, 9-L-43/6, KHUYATHONG SANI MANDIR IMPHAL EAST IMPHAL , East Imphal Unclassified MN 795001",RoC-Shillong,skrsunilkumarrai@gmail.com,NA,NA,,,
U51909MN2019PTC013874,MALEM EMA EXPORT AND IMPORT PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,24-05-19,Manipur,1000000,1000000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/O. A. UPANANDA SINGH, IED-I, 230328 8-A-35/4(YKS), NEPRA MENJOR IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,ACETSOLU100@GMAIL.COM,NA,NA,,,
U51909MN2019PTC013877,HELIO TRADE AND CONSULTING PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,29-05-19,Manipur,1000000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/o Rsquare Design & Construction First Floor Sangaiprou Mamang Leikai, IMPHAL , West Imphal Unclassified MN 795140",RoC-Shillong,pcsvaibhavgarg@gmail.com,NA,NA,,,
U51909MN2019PTC013907,CHANURA ENTRADE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-07-19,Manipur,1000000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","KEISHAMTHONG HODAM LEIRAK IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,chanuraentrade@gmail.com,31-03-20,31-03-20,,,
U51909MN2019PTC013942,MEI SOLUTIONS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,13-09-19,Manipur,1000000,150000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/O. W. SUDHIR SINGH, IED-II 215236,C-1-113, NAGAMAPAL LAMABAM LEIKAI IMPHAL WEST , West Imphal Unclassified MN 795001",RoC-Shillong,VIKRAM_SANA@YAHOO.COM,NA,NA,,,
U51909MN2019PTC013948,QATELLO PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-09-19,Manipur,100000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/O YUMKHAIBAM ROHIN, SINGJAMEI WANGMA BEHIGABATI LEIKAI EAST IMPHAL , East Imphal Unclassified MN 795005",RoC-Shillong,dakyrani1829@gmail.com,31-03-20,31-03-20,,,
U51909MN2019PTC013962,HEERASINGH ENTERPRISES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,15-10-19,Manipur,100000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","W/o Ningombam Sanayai, Thoubal Ningombam Mayai Leirak,Thoubal,Thoubal Sub-Div THOUBAL , Thoubal Unclassified MN 795138",RoC-Shillong,pcsvaibhavgarg@gmail.com,NA,NA,,,
U51909MN2019PTC014000,WELSOURCE MARKETING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-12-19,Manipur,3000000,1000000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","GROUND FLOOR, 97- CHINGMEIRONG WEST, IMPHAL WEST IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,DEVIMPHAL@GMAIL.COM,31-03-20,31-03-20,,,
U51909MN2020OPC014206,LALHANBA (OPC) PRIVATE LIMITED,Active,Private(One Person Company),Company limited by Shares,Non-govt company,01-12-20,Manipur,1500000,500000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","272, Thoubal Kshetrileikai C/o Irom Saratkumar, Haotabi Lampak Maya Thoubal , Thoubal Unclassified MN 795138",RoC-Shillong,madhumoirang1984@gmail.com,NA,NA,,,
U51909MN2020PTC014024,PANDAM SERVICES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-01-20,Manipur,100000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/O LAMNGANBA, CHALOU MAYAI LEIKAI LAML SAWOMBUNG NEAR LAMLAI BAZAR EAST IMPHAL , East Imphal Unclassified MN 795010",RoC-Shillong,pandamshykmr@gmail.com,NA,NA,,,
U51909MN2020PTC014055,SUPPLY STUDIO PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-02-20,Manipur,1500000,300000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/O THOKCHOM SURESH SINGH KWAKEITHEL THOKCHOM LEIKAI IMPHAL WEST , West Imphal Unclassified MN 795001",RoC-Shillong,cspuinachandra@gmail.com,NA,NA,,,
U51909MN2020PTC014058,RELIABLE TRADE AND COMMERCE PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,21-02-20,Manipur,1500000,1000000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/O MRS. I IBEMNUNGSHI CHANU I 23481,8-L-12/12, TH. BZ. NEAR HOTEL CITY IMPHAL CSD-II , West Imphal Unclassified MN 795001",RoC-Shillong,ougricpl@gmail.com,NA,NA,,,
U51909MN2020PTC014089,LINGJEL TRADERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-06-20,Manipur,1000000,1000000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Phoudel keirambi Po. Thoubal, Ps. Yairipok Thoubal , West Imphal Unclassified MN 795138",RoC-Shillong,bedhajit2@yahoo.co.in,NA,NA,,,
U51909MN2020PTC014095,PHYTOLIFE FAMILY SOLUTIONS PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,27-06-20,Manipur,1000000,1000000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Kyamgei Shantipur Awang Leikai Imphal East Imphal , East Imphal Unclassified MN 795003",RoC-Shillong,pcsvaibhavgarg@gmail.com,NA,NA,,,
U51909MN2020PTC014107,IRAMDAM MULTI TRADE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-07-20,Manipur,1000000,300000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/oSUKHAM SANJOY H.N126 THINUNGEI MAMANG LEIKAI PO/PS BISHNUPUR BISHNUPUR DIST. NINGTHOUKHONG , Bishnupur Unclassified MN 795126",RoC-Shillong,BMTAXATION2019@GMAIL.COM,NA,NA,,,
U51909MN2020PTC014111,CKK TRADING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,21-07-20,Manipur,1000000,1000000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/o Pebam Dhananjoy Singh Khurai Thangjam Leikei PO-Lamlong, PSPorompat , East Imphal Unclassified MN 795010",RoC-Shillong,pcsvaibhavgarg@gmail.com,NA,NA,,,
U51909MN2020PTC014139,CHENGJEL SPAN PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,01-09-20,Manipur,1000000,1000000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Thangal bazar M.G Avenue road Opposite UBI Bank IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,chengjelspan@gmail.com,NA,NA,,,
U51909MN2020PTC014154,SANALEIBAK PUKEI PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-09-20,Manipur,1000000,200000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","IED IV 144 9 RS 18 24 WANGOO TERA LUPA MARUP THOUBAL THOUBAL MANIPUR 795103 WANGOO , Thoubal Unclassified MN 795103",RoC-Shillong,bmtaxation2019@gmail.com,NA,NA,,,
U51909MN2020PTC014160,SANAJING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,08-10-20,Manipur,1000000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","HN 144 Heirok Part II Litan Makhong Thoubal Wangjing Manipur 795148 India HEIROK , Thoubal Unclassified MN 795148",RoC-Shillong,bmtaxation2019@gmail.com,NA,NA,,,
U51909MN2020PTC014171,ZSTE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,21-10-20,Manipur,1000000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","HOUSE NO. 142 KHONGMAN ZONE 4 KHONGMAN IMPHAL EAST MANIPUR IMPHAL , East Imphal Unclassified MN 795008",RoC-Shillong,bmtaxation2019@gmail.com,NA,NA,,,
U51909MN2020PTC014194,RP BLUE WHALE TRADERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-11-20,Manipur,1000000,200000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","H/NO.24 POROMPAT THAWANTHABA LEIKAI POROMPAT SUBDIVISION IMPHAL EAST MANIPUR IMPHAL , East Imphal Unclassified MN 795005",RoC-Shillong,bmtaxation2019@gmail.com,NA,NA,,,
U51909MN2020PTC014204,EASTERN SEWING HOUSE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,28-11-20,Manipur,1000000,500000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","77,NEW CHECKON P.O-IMPHAL,,PS-POROMPAT IMPHAL , East Imphal Unclassified MN 795001",RoC-Shillong,th.biramangol@gmail.com,NA,NA,,,
U51909MN2020PTC014220,YENING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,21-12-20,Manipur,1000000,50000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","KEISHAMPAT KEISHAM LEIKAI IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,arvkeisam@gmail.com,NA,NA,,,
U51909MN2021PTC014240,MAZO HUB PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-01-21,Manipur,100000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/O Konthoujam kumar singh Wahengbam lekai Jiri parking leirak, Imphal , West Imphal Unclassified MN 795001",RoC-Shillong,mukashb@gmail.com,NA,NA,,,
U51909MN2021PTC014256,PANTHOU PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-02-21,Manipur,100000,100000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","THONGJU PART - II PHEIJALEITONG MAKHA IMPHAL , West Imphal Unclassified MN 795003",RoC-Shillong,yaipharembikonsam@gmail.com,NA,NA,,,
U51909MN2021PTC014263,APPIBOM UNIGLOBAL PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-03-21,Manipur,3000000,2000000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/O L. TIBIT MEETEI SAGOLBAND LOUKHAM LEIRAK, KWAKEITHEL, IMPHAL IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,client@legalraasta.com,NA,NA,,,
U52100MN2009PTC008243,EASTERN GATEWAY SHOPPING COMPANY PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,16-01-09,Manipur,1000000,0,52100,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods","SANGAI POROU TIDIM ROAD (NH- 150) IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,harissingh@sify.com,NA,NA,,,
U52100MN2012PTC008303,TECHLORE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-05-12,Manipur,500000,500000,52100,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods","KEIRAO MAKTING, MAKHA LEIKAI, NEAR FIRDOSH MASJID P.O SINGJAMEI, P.S. IRILBUNG IMPHAL , Unclassified MN 795008",RoC-Shillong,acorleone2@gmail.com,31-03-20,31-03-20,,,
U52100MN2012PTC008316,NEFSA VENTURES PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,10-12-12,Manipur,500000,200000,52100,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods","KSHETRIGAON IDGAH LANE IMPHAL , Unclassified MN 795001",RoC-Shillong,madiasar@gmail.com,31-03-13,31-03-13,,,
U52100MN2019PTC013986,SRIPADA PHARMA DISTRIBUTORS PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,02-12-19,Manipur,1000000,50000,52100,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods","C/O. W AMARJIT SINGH IED-I 12583,11-B-2/12, SAGAIPROU MAMANG LEIKA IMPHAL WEST , West Imphal Unclassified MN 795001",RoC-Shillong,CSPUINACHANDRA@GMAIL.COM,NA,NA,,,
U52100MN2019PTC014010,MCN TRADING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,31-12-19,Manipur,150000,150000,52100,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods","C/O.WAREPAM SANJITKUMAR SINGH, KHONGHAMPAT KHUNOU,KHONGHAMPAT IMPHAL , West Imphal Unclassified MN 795002",RoC-Shillong,multipurposecooperativenetwork@gmail.com,NA,NA,,,
U52100MN2020PTC014080,POIREI ENTERPRISES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-05-20,Manipur,100000,10000,52100,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods","C/O SAGAPAM NGANTHOI DEVI, NINGTHOUKHONG KHA KHUNOU, NINGTHOUKHONG KHA BISHNUPUR , Bishnupur Unclassified MN 795126",RoC-Shillong,gunesh11singh@gmail.com,NA,NA,,,
U52100MN2020PTC014182,SK MANGANG PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,03-11-20,Manipur,100000,100000,52100,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods","S/O KH LBOMCHA SINGH SAMARAM MANING LEIKAI THOUBAL , Thoubal Unclassified MN 795148",RoC-Shillong,kisansapam@gmail.com,NA,NA,,,
U52100MN2020PTC014197,LOCALGALLERIA PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,21-11-20,Manipur,100000,100000,52100,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods","00065 THANGMEIBAND HIJAM DEWAN LEIKAI, BEHIND GURUKUL SCHOOL Imphal , West Imphal Unclassified MN 795004",RoC-Shillong,jellyphilachon@gmail.com,NA,NA,,,
U52190MN2014PTC008382,MOHON & SONS MULTIBIZ PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,22-07-14,Manipur,100000,100000,52190,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods","MANTRIPUKHRI OPP. CRPF CAMP IMPHAL , East Imphal Unclassified MN 795002",RoC-Shillong,waikhom.suraj@yahoo.in,NA,NA,,,
U52190MN2019PTC013902,ATIYA RETAIL PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-07-19,Manipur,2000000,220000,52190,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods","C/O Kongbrailatpam Bina Devi Kangabam Leikai, Sagolband Imphal , West Imphal Unclassified MN 795001",RoC-Shillong,contact@atiyaretail.com,NA,NA,,,
U52190MN2019PTC013976,BENESYS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,14-11-19,Manipur,1000000,100000,52190,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods","C/O LAKSHMAN THONGBAM,POURABI AWANG LEIKAI IMPHAL EAST IMPHAL , East Imphal Unclassified MN 795010",RoC-Shillong,Thongbamlenon777@gmail.com,31-03-20,28-12-20,,,
U52300MN2020PTC014150,IMOINU VENTURES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-09-20,Manipur,100000,100000,52300,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods","C/O Mr. PH.RAJENDRO SINGH,IED IV 540 1 EPW (D) KHURAI SOIBAM LEIKAI IMPHAL , East Imphal Unclassified MN 795004",RoC-Shillong,eitcompliance2020@gmail.com,NA,NA,,,
U52322MN2014PTC008379,ERS IMPEX PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,23-06-14,Manipur,100000,100000,52322,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods","VIEWLAND ZONE-II, P.O-LUIKHAM BLOCK-UKHRUL UKHRUL , Ukhrul Unclassified MN 795142",RoC-Shillong,rajeshworch@gmail.com,NA,NA,,,
